# Time Total_Circulation Enstrophy_Proxy
8.000000e-02 -2.517401e-08 7.181968e-12
1.600000e-01 2.232290e-07 1.897407e-05
2.400000e-01 -1.140621e-04 3.762033e-04
3.200000e-01 -8.807601e-04 2.264751e-03
4.000000e-01 -2.113148e-03 7.875369e-03
4.800000e-01 -3.630276e-03 1.978929e-02
5.600000e-01 -1.366378e-02 3.989939e-02
6.400000e-01 -2.207163e-02 6.841052e-02
7.200000e-01 -4.266277e-02 1.033244e-01
8.000000e-01 -4.567379e-02 1.406270e-01
8.800000e-01 -7.008699e-02 1.751479e-01
9.600000e-01 -6.828948e-02 2.022788e-01
1.040000e+00 -7.278799e-02 2.189242e-01
1.120000e+00 -7.070244e-02 2.245849e-01
1.200000e+00 -7.123996e-02 2.242742e-01
1.280000e+00 -7.260280e-02 2.218793e-01
1.360000e+00 -6.453288e-02 2.193465e-01
1.440000e+00 -5.633464e-02 2.174697e-01
1.520000e+00 -4.645115e-02 2.164330e-01
1.600000e+00 -3.616258e-02 2.162081e-01
1.680000e+00 -2.925657e-02 2.165817e-01
1.760000e+00 -1.815084e-02 2.173070e-01
1.840000e+00 -2.514102e-03 2.182599e-01
1.920000e+00 2.039931e-02 2.192251e-01
2.000000e+00 4.802459e-02 2.201081e-01
2.080000e+00 8.258086e-02 2.208969e-01
2.160000e+00 1.245412e-01 2.215196e-01
2.240000e+00 1.714281e-01 2.219516e-01
2.320000e+00 2.330998e-01 2.221440e-01
2.400000e+00 2.942078e-01 2.222291e-01
2.480000e+00 3.542999e-01 2.221536e-01
2.560000e+00 4.201568e-01 2.219973e-01
2.640000e+00 4.821130e-01 2.217276e-01
2.720000e+00 5.477108e-01 2.214004e-01
2.800000e+00 6.128097e-01 2.210006e-01
2.880000e+00 6.815446e-01 2.205364e-01
2.960000e+00 7.501927e-01 2.199627e-01
3.040000e+00 8.175464e-01 2.193372e-01
3.120000e+00 8.875744e-01 2.187004e-01
3.200000e+00 9.522501e-01 2.179864e-01
3.280000e+00 1.018241e+00 2.173082e-01
3.360000e+00 1.082231e+00 2.166745e-01
3.440000e+00 1.142908e+00 2.160479e-01
3.520000e+00 1.205611e+00 2.154157e-01
3.600000e+00 1.271485e+00 2.147736e-01
3.680000e+00 1.328434e+00 2.141189e-01
3.760000e+00 1.385943e+00 2.135322e-01
3.840000e+00 1.445860e+00 2.130493e-01
3.920000e+00 1.506578e+00 2.126188e-01
4.000000e+00 1.563631e+00 2.122085e-01
4.080000e+00 1.623017e+00 2.118081e-01
4.160000e+00 1.680394e+00 2.114394e-01
4.240000e+00 1.733748e+00 2.110762e-01
4.320000e+00 1.782927e+00 2.106922e-01
4.400000e+00 1.836162e+00 2.102573e-01
4.480000e+00 1.885928e+00 2.097407e-01
4.560000e+00 1.941797e+00 2.091739e-01
4.640000e+00 1.996756e+00 2.085954e-01
4.720000e+00 2.049616e+00 2.079847e-01
4.800000e+00 2.098070e+00 2.073063e-01
4.880000e+00 2.144204e+00 2.065903e-01
4.960000e+00 2.190238e+00 2.058330e-01
5.040000e+00 2.234630e+00 2.050374e-01
5.120000e+00 2.282932e+00 2.042495e-01
5.200000e+00 2.329504e+00 2.033715e-01
5.280000e+00 2.375457e+00 2.024669e-01
5.360000e+00 2.424429e+00 2.015134e-01
5.440000e+00 2.470307e+00 2.005723e-01
5.520000e+00 2.515065e+00 1.996185e-01
5.600000e+00 2.559018e+00 1.986707e-01
5.680000e+00 2.605710e+00 1.977393e-01
5.760000e+00 2.648088e+00 1.967739e-01
5.840000e+00 2.688663e+00 1.958291e-01
5.920000e+00 2.729288e+00 1.949164e-01
6.000000e+00 2.766053e+00 1.940156e-01
6.080000e+00 2.803186e+00 1.931622e-01
6.160000e+00 2.835192e+00 1.923168e-01
6.240000e+00 2.868153e+00 1.915321e-01
6.320000e+00 2.901301e+00 1.907962e-01
6.400000e+00 2.934978e+00 1.901043e-01
6.480000e+00 2.969291e+00 1.894295e-01
6.560000e+00 3.006652e+00 1.888091e-01
6.640000e+00 3.041368e+00 1.882632e-01
6.720000e+00 3.076418e+00 1.877457e-01
6.800000e+00 3.113569e+00 1.872512e-01
6.880000e+00 3.156206e+00 1.867699e-01
6.960000e+00 3.201387e+00 1.863096e-01
7.040000e+00 3.248988e+00 1.858662e-01
7.120000e+00 3.301084e+00 1.854425e-01
7.200000e+00 3.358055e+00 1.850403e-01
7.280000e+00 3.421409e+00 1.846671e-01
7.360000e+00 3.490136e+00 1.843211e-01
7.440000e+00 3.564202e+00 1.840086e-01
7.520000e+00 3.643730e+00 1.837369e-01
7.600000e+00 3.729078e+00 1.835151e-01
7.680000e+00 3.820621e+00 1.833540e-01
7.760000e+00 3.917689e+00 1.832439e-01
7.840000e+00 4.018263e+00 1.832131e-01
7.920000e+00 4.126945e+00 1.832462e-01
8.000000e+00 4.244195e+00 1.833661e-01
8.080000e+00 4.370056e+00 1.836055e-01
8.160000e+00 4.498357e+00 1.839477e-01
8.240000e+00 4.630184e+00 1.844037e-01
8.320000e+00 4.765738e+00 1.849700e-01
8.400000e+00 4.903878e+00 1.856410e-01
8.480000e+00 5.044360e+00 1.864193e-01
8.560000e+00 5.185317e+00 1.872855e-01
8.640000e+00 5.320571e+00 1.882094e-01
8.720000e+00 5.449503e+00 1.891401e-01
8.800000e+00 5.567948e+00 1.900765e-01
8.880000e+00 5.675883e+00 1.910745e-01
8.960000e+00 5.771498e+00 1.921353e-01
9.040000e+00 5.867180e+00 1.933405e-01
9.120000e+00 5.953467e+00 1.947539e-01
9.200000e+00 6.011676e+00 1.961577e-01
9.280000e+00 6.067485e+00 1.978673e-01
9.360000e+00 6.110830e+00 1.998411e-01
9.440000e+00 6.134719e+00 2.019783e-01
9.520000e+00 6.148141e+00 2.043433e-01
9.600000e+00 6.151017e+00 2.068704e-01
9.680000e+00 6.138398e+00 2.094842e-01
9.760000e+00 6.121439e+00 2.122070e-01
9.840000e+00 6.094198e+00 2.149528e-01
9.920000e+00 6.053917e+00 2.176968e-01
1.000000e+01 6.009332e+00 2.203908e-01
1.008000e+01 5.951573e+00 2.230355e-01
1.016000e+01 5.882956e+00 2.255252e-01
1.024000e+01 5.813991e+00 2.278980e-01
1.032000e+01 5.742618e+00 2.301498e-01
1.040000e+01 5.663164e+00 2.322766e-01
1.048000e+01 5.578352e+00 2.342487e-01
1.056000e+01 5.492337e+00 2.359875e-01
1.064000e+01 5.413641e+00 2.374819e-01
1.072000e+01 5.333582e+00 2.388020e-01
1.080000e+01 5.251856e+00 2.398870e-01
1.088000e+01 5.168141e+00 2.409108e-01
1.096000e+01 5.090151e+00 2.418315e-01
1.104000e+01 5.014196e+00 2.426580e-01
1.112000e+01 4.939547e+00 2.433908e-01
1.120000e+01 4.870721e+00 2.440291e-01
1.128000e+01 4.804470e+00 2.445947e-01
1.136000e+01 4.738599e+00 2.451156e-01
1.144000e+01 4.672404e+00 2.455972e-01
1.152000e+01 4.613392e+00 2.461036e-01
1.160000e+01 4.557395e+00 2.467036e-01
1.168000e+01 4.502956e+00 2.474056e-01
1.176000e+01 4.447295e+00 2.482534e-01
1.184000e+01 4.380870e+00 2.493409e-01
1.192000e+01 4.315163e+00 2.506355e-01
1.200000e+01 4.256163e+00 2.520890e-01
1.208000e+01 4.196006e+00 2.537445e-01
1.216000e+01 4.135968e+00 2.555279e-01
1.224000e+01 4.083891e+00 2.574684e-01
1.232000e+01 4.040089e+00 2.595293e-01
1.240000e+01 4.005908e+00 2.617202e-01
1.248000e+01 3.991638e+00 2.639449e-01
1.256000e+01 3.998208e+00 2.662138e-01
1.264000e+01 4.006638e+00 2.686545e-01
1.272000e+01 4.028905e+00 2.711920e-01
1.280000e+01 4.069764e+00 2.739672e-01
1.288000e+01 4.121284e+00 2.769243e-01
1.296000e+01 4.190958e+00 2.799668e-01
1.304000e+01 4.269137e+00 2.831999e-01
1.312000e+01 4.368311e+00 2.865876e-01
1.320000e+01 4.477774e+00 2.899909e-01
1.328000e+01 4.592628e+00 2.934255e-01
1.336000e+01 4.714036e+00 2.967415e-01
1.344000e+01 4.853016e+00 2.996765e-01
