# Time Total_Circulation Enstrophy_Proxy
8.000000e-02 -2.412362e-08 7.157264e-12
1.600000e-01 -5.029523e-08 1.897381e-05
2.400000e-01 -1.544059e-04 3.760368e-04
3.200000e-01 -2.749892e-04 2.266058e-03
4.000000e-01 8.296595e-06 7.898326e-03
4.800000e-01 4.718432e-03 1.989802e-02
5.600000e-01 8.187595e-04 4.030609e-02
6.400000e-01 -1.129726e-02 6.951183e-02
7.200000e-01 -2.888252e-02 1.055526e-01
8.000000e-01 -2.432159e-02 1.442581e-01
8.800000e-01 -3.541390e-02 1.805869e-01
9.600000e-01 -2.215380e-02 2.096367e-01
1.040000e+00 -1.887866e-02 2.277729e-01
1.120000e+00 1.741630e-03 2.348443e-01
1.200000e+00 8.271163e-03 2.358284e-01
1.280000e+00 1.034880e-02 2.342980e-01
1.360000e+00 2.900474e-02 2.319603e-01
1.440000e+00 2.359784e-02 2.293635e-01
1.520000e+00 2.767422e-02 2.268910e-01
1.600000e+00 2.825954e-02 2.244737e-01
1.680000e+00 2.376341e-02 2.218520e-01
1.760000e+00 1.621086e-02 2.190152e-01
1.840000e+00 1.147020e-02 2.156928e-01
1.920000e+00 9.008976e-03 2.119134e-01
2.000000e+00 3.747078e-03 2.078487e-01
2.080000e+00 -5.931914e-03 2.035722e-01
2.160000e+00 -1.677259e-02 1.991065e-01
2.240000e+00 -2.801809e-02 1.943712e-01
2.320000e+00 -3.812297e-02 1.895185e-01
2.400000e+00 -3.891972e-02 1.844783e-01
2.480000e+00 -3.603477e-02 1.794477e-01
2.560000e+00 -3.297295e-02 1.745537e-01
2.640000e+00 -3.028299e-02 1.697882e-01
2.720000e+00 -2.513261e-02 1.651563e-01
2.800000e+00 -2.623919e-02 1.606926e-01
2.880000e+00 -2.138171e-02 1.563978e-01
2.960000e+00 -1.752428e-02 1.523524e-01
3.040000e+00 -1.582663e-02 1.485939e-01
3.120000e+00 -1.108665e-02 1.450861e-01
3.200000e+00 -7.200768e-03 1.418912e-01
3.280000e+00 -3.767305e-03 1.390206e-01
3.360000e+00 -3.932066e-04 1.364772e-01
3.440000e+00 2.627905e-03 1.342572e-01
3.520000e+00 3.376302e-03 1.323336e-01
3.600000e+00 4.138498e-03 1.306917e-01
3.680000e+00 8.086594e-03 1.293160e-01
3.760000e+00 9.870007e-03 1.281738e-01
3.840000e+00 1.058961e-02 1.272391e-01
3.920000e+00 1.171638e-02 1.264998e-01
4.000000e+00 1.573205e-02 1.259366e-01
4.080000e+00 1.968539e-02 1.255225e-01
4.160000e+00 2.431926e-02 1.252457e-01
4.240000e+00 3.038709e-02 1.251011e-01
4.320000e+00 3.770321e-02 1.250747e-01
4.400000e+00 4.410589e-02 1.251654e-01
4.480000e+00 4.936678e-02 1.253554e-01
4.560000e+00 5.589530e-02 1.255829e-01
4.640000e+00 6.337671e-02 1.258410e-01
4.720000e+00 7.145775e-02 1.261703e-01
4.800000e+00 7.952480e-02 1.265659e-01
4.880000e+00 8.867893e-02 1.270194e-01
4.960000e+00 9.756910e-02 1.274739e-01
5.040000e+00 1.077926e-01 1.279794e-01
5.120000e+00 1.188313e-01 1.285480e-01
5.200000e+00 1.279131e-01 1.291525e-01
5.280000e+00 1.314365e-01 1.298157e-01
5.360000e+00 1.299049e-01 1.305098e-01
5.440000e+00 1.289872e-01 1.312714e-01
5.520000e+00 1.270959e-01 1.320684e-01
5.600000e+00 1.270608e-01 1.328669e-01
5.680000e+00 1.275586e-01 1.336861e-01
5.760000e+00 1.255619e-01 1.345187e-01
5.840000e+00 1.185215e-01 1.353268e-01
5.920000e+00 1.088070e-01 1.360926e-01
6.000000e+00 9.611407e-02 1.368620e-01
6.080000e+00 8.123028e-02 1.376472e-01
6.160000e+00 6.241735e-02 1.384368e-01
6.240000e+00 4.044080e-02 1.392233e-01
6.320000e+00 1.341540e-02 1.400127e-01
6.400000e+00 -1.963015e-02 1.407185e-01
6.480000e+00 -5.812494e-02 1.414537e-01
6.560000e+00 -9.984345e-02 1.421997e-01
6.640000e+00 -1.447848e-01 1.429540e-01
6.720000e+00 -1.923300e-01 1.437181e-01
6.800000e+00 -2.417524e-01 1.444949e-01
6.880000e+00 -2.940597e-01 1.452913e-01
6.960000e+00 -3.477140e-01 1.461060e-01
7.040000e+00 -4.015773e-01 1.469416e-01
7.120000e+00 -4.556862e-01 1.477989e-01
7.200000e+00 -5.172558e-01 1.486645e-01
7.280000e+00 -5.775857e-01 1.495708e-01
7.360000e+00 -6.358131e-01 1.505153e-01
7.440000e+00 -6.878530e-01 1.514806e-01
7.520000e+00 -7.389033e-01 1.524882e-01
7.600000e+00 -7.942590e-01 1.535377e-01
7.680000e+00 -8.483349e-01 1.546375e-01
7.760000e+00 -8.988469e-01 1.557809e-01
7.840000e+00 -9.443486e-01 1.569808e-01
7.920000e+00 -9.849270e-01 1.582231e-01
8.000000e+00 -1.021663e+00 1.594990e-01
8.080000e+00 -1.053666e+00 1.608036e-01
8.160000e+00 -1.077783e+00 1.621629e-01
8.240000e+00 -1.096166e+00 1.635511e-01
8.320000e+00 -1.110427e+00 1.649787e-01
