# Time C0_Drag C0_Lift C1_Drag C1_Lift C2_Drag C2_Lift C3_Drag C3_Lift C4_Drag C4_Lift C5_Drag C5_Lift
8.000000e-02 9.818871e-05 1.847458e-21 9.818871e-05 1.355584e-21 9.818871e-05 1.520755e-21 9.818871e-05 -5.305272e-21 9.818871e-05 1.455507e-21 9.818871e-05 1.760042e-21
1.600000e-01 1.542109e-01 -8.697448e-08 1.542082e-01 5.502338e-06 1.542083e-01 2.593993e-06 1.542109e-01 1.844882e-07 1.542076e-01 -1.114731e-06 1.542073e-01 -4.507582e-06
2.400000e-01 5.546830e-01 -3.381727e-05 5.512524e-01 1.097637e-02 5.515417e-01 6.502921e-03 5.547013e-01 6.477732e-05 5.503820e-01 -4.712915e-03 5.500872e-01 -9.299521e-03
3.200000e-01 1.091039e+00 -3.581447e-04 1.079492e+00 4.998022e-02 1.080391e+00 3.394841e-02 1.092307e+00 5.134666e-04 1.075392e+00 -2.518739e-02 1.074361e+00 -4.248748e-02
4.000000e-01 1.671785e+00 -1.807614e-03 1.656910e+00 1.252464e-01 1.658597e+00 9.991717e-02 1.681940e+00 3.493186e-03 1.644936e+00 -7.617931e-02 1.643641e+00 -1.077297e-01
4.800000e-01 2.215130e+00 -2.988621e-03 2.214742e+00 2.402037e-01 2.216422e+00 2.209278e-01 2.254738e+00 4.957854e-03 2.194780e+00 -1.752354e-01 2.192129e+00 -2.077853e-01
5.600000e-01 2.650305e+00 -5.189241e-03 2.697114e+00 3.922841e-01 2.703404e+00 4.066617e-01 2.753935e+00 1.377455e-02 2.669020e+00 -3.378839e-01 2.664546e+00 -3.465412e-01
6.400000e-01 2.915035e+00 -1.569169e-02 3.054814e+00 5.985058e-01 3.071319e+00 6.744341e-01 3.127502e+00 3.094980e-02 3.016269e+00 -5.635089e-01 3.000495e+00 -5.038046e-01
7.200000e-01 2.975805e+00 -1.625283e-02 3.242456e+00 8.182894e-01 3.268533e+00 1.026240e+00 3.342137e+00 2.327848e-02 3.218776e+00 -8.443187e-01 3.180390e+00 -6.892023e-01
8.000000e-01 2.807891e+00 -3.280744e-02 3.239638e+00 1.052655e+00 3.287835e+00 1.426055e+00 3.356406e+00 4.863908e-02 3.217810e+00 -1.175260e+00 3.155354e+00 -8.918398e-01
8.800000e-01 2.427761e+00 -3.674029e-02 3.030585e+00 1.281124e+00 3.105055e+00 1.821004e+00 3.171593e+00 7.156382e-02 3.027784e+00 -1.513801e+00 2.930939e+00 -1.079881e+00
9.600000e-01 1.853057e+00 -3.007781e-02 2.625138e+00 1.491924e+00 2.733692e+00 2.150867e+00 2.792836e+00 1.013517e-01 2.649757e+00 -1.826658e+00 2.512319e+00 -1.257392e+00
1.040000e+00 1.122898e+00 -1.680543e-02 2.044033e+00 1.637494e+00 2.191680e+00 2.446317e+00 2.198762e+00 1.236457e-01 2.100288e+00 -2.102856e+00 1.924858e+00 -1.374139e+00
1.120000e+00 3.130753e-01 -4.539304e-03 1.369543e+00 1.727047e+00 1.541140e+00 2.664989e+00 1.455095e+00 1.375366e-01 1.457955e+00 -2.342193e+00 1.256302e+00 -1.428704e+00
1.200000e+00 -2.926117e-01 -2.522351e-03 8.816473e-01 1.734971e+00 1.052517e+00 2.805848e+00 8.362220e-01 1.465247e-01 9.702206e-01 -2.470432e+00 7.733489e-01 -1.433361e+00
1.280000e+00 -7.113691e-01 1.239287e-02 5.670208e-01 1.724738e+00 7.336845e-01 2.850353e+00 4.151244e-01 1.406404e-01 6.564359e-01 -2.486563e+00 4.467763e-01 -1.374733e+00
1.360000e+00 -1.034767e+00 2.416396e-02 3.329143e-01 1.726703e+00 5.173720e-01 2.875388e+00 1.006438e-01 1.501151e-01 4.355128e-01 -2.504868e+00 2.083764e-01 -1.338025e+00
1.440000e+00 -1.253623e+00 3.444122e-02 1.694283e-01 1.685576e+00 3.987695e-01 2.857423e+00 -1.000857e-01 1.587618e-01 3.006853e-01 -2.498611e+00 4.523052e-02 -1.289817e+00
1.520000e+00 -1.421233e+00 5.010817e-02 4.073787e-02 1.673322e+00 3.258548e-01 2.851627e+00 -2.341928e-01 1.704812e-01 2.176061e-01 -2.479114e+00 -8.661927e-02 -1.234283e+00
1.600000e+00 -1.538605e+00 6.614408e-02 -6.397451e-02 1.632351e+00 2.905793e-01 2.825059e+00 -3.104257e-01 1.742612e-01 1.737428e-01 -2.455344e+00 -1.836387e-01 -1.186460e+00
1.680000e+00 -1.617495e+00 7.600347e-02 -1.434952e-01 1.591904e+00 2.863284e-01 2.801783e+00 -3.447962e-01 1.845891e-01 1.594888e-01 -2.412854e+00 -2.606400e-01 -1.122002e+00
1.760000e+00 -1.662663e+00 8.672008e-02 -2.115613e-01 1.527967e+00 3.010013e-01 2.778749e+00 -3.530196e-01 1.942829e-01 1.638162e-01 -2.370556e+00 -3.210934e-01 -1.048009e+00
1.840000e+00 -1.692851e+00 9.478159e-02 -2.724078e-01 1.475165e+00 3.198632e-01 2.767795e+00 -3.520415e-01 2.062856e-01 1.750461e-01 -2.332873e+00 -3.743168e-01 -9.701625e-01
1.920000e+00 -1.709962e+00 9.526486e-02 -3.282046e-01 1.409557e+00 3.447473e-01 2.760744e+00 -3.437357e-01 2.243116e-01 1.868795e-01 -2.295931e+00 -4.235182e-01 -9.054261e-01
2.000000e+00 -1.708525e+00 9.488236e-02 -3.751436e-01 1.326537e+00 3.748813e-01 2.747887e+00 -3.224178e-01 2.407233e-01 2.038857e-01 -2.251964e+00 -4.611069e-01 -8.446977e-01
2.080000e+00 -1.696742e+00 1.071814e-01 -4.118681e-01 1.245304e+00 4.024843e-01 2.739351e+00 -3.016388e-01 2.587023e-01 2.198500e-01 -2.215799e+00 -4.987724e-01 -7.790974e-01
2.160000e+00 -1.673847e+00 1.126052e-01 -4.445487e-01 1.156014e+00 4.215845e-01 2.725169e+00 -2.812412e-01 2.720478e-01 2.374616e-01 -2.187620e+00 -5.267524e-01 -7.152610e-01
2.240000e+00 -1.638142e+00 1.187035e-01 -4.677130e-01 1.063347e+00 4.395138e-01 2.712692e+00 -2.607962e-01 2.881756e-01 2.533023e-01 -2.156902e+00 -5.507630e-01 -6.458048e-01
2.320000e+00 -1.598709e+00 1.302883e-01 -4.821828e-01 9.789408e-01 4.546200e-01 2.701416e+00 -2.431163e-01 3.063860e-01 2.631870e-01 -2.127528e+00 -5.731539e-01 -5.820694e-01
2.400000e+00 -1.555355e+00 1.336238e-01 -4.917179e-01 8.978390e-01 4.651907e-01 2.688690e+00 -2.272845e-01 3.234578e-01 2.713556e-01 -2.099026e+00 -5.898466e-01 -5.197986e-01
2.480000e+00 -1.505034e+00 1.343933e-01 -4.952211e-01 8.128897e-01 4.728807e-01 2.672537e+00 -2.123858e-01 3.390522e-01 2.779240e-01 -2.071313e+00 -6.004168e-01 -4.596884e-01
2.560000e+00 -1.448998e+00 1.381441e-01 -4.911252e-01 7.346105e-01 4.788366e-01 2.645908e+00 -1.947282e-01 3.536057e-01 2.848492e-01 -2.043305e+00 -6.043682e-01 -3.986037e-01
2.640000e+00 -1.381478e+00 1.379675e-01 -4.814699e-01 6.417287e-01 4.877530e-01 2.619292e+00 -1.734430e-01 3.649189e-01 2.929877e-01 -2.008462e+00 -5.987288e-01 -3.435786e-01
2.720000e+00 -1.314556e+00 1.404332e-01 -4.663988e-01 5.613045e-01 4.952490e-01 2.596518e+00 -1.550757e-01 3.769195e-01 3.000253e-01 -1.979939e+00 -5.922477e-01 -2.884553e-01
2.800000e+00 -1.245669e+00 1.451706e-01 -4.480284e-01 4.823194e-01 5.030987e-01 2.568977e+00 -1.359262e-01 3.882855e-01 3.073554e-01 -1.951631e+00 -5.816574e-01 -2.317700e-01
2.880000e+00 -1.172825e+00 1.492708e-01 -4.256407e-01 4.028100e-01 5.120575e-01 2.541533e+00 -1.166738e-01 4.001849e-01 3.138344e-01 -1.922479e+00 -5.683425e-01 -1.748285e-01
2.960000e+00 -1.103076e+00 1.542832e-01 -4.028737e-01 3.315295e-01 5.177059e-01 2.514876e+00 -1.005722e-01 4.085191e-01 3.190184e-01 -1.898679e+00 -5.521701e-01 -1.197518e-01
3.040000e+00 -1.033490e+00 1.599194e-01 -3.782370e-01 2.645235e-01 5.244234e-01 2.488409e+00 -8.425787e-02 4.185617e-01 3.235784e-01 -1.872259e+00 -5.345463e-01 -6.439447e-02
3.120000e+00 -9.668004e-01 1.670002e-01 -3.521385e-01 2.024519e-01 5.319622e-01 2.462932e+00 -6.746358e-02 4.295532e-01 3.270874e-01 -1.844089e+00 -5.171971e-01 -1.180246e-02
3.200000e+00 -9.021787e-01 1.737157e-01 -3.255981e-01 1.450059e-01 5.400380e-01 2.438459e+00 -5.056116e-02 4.406160e-01 3.303156e-01 -1.815510e+00 -4.982908e-01 3.828045e-02
3.280000e+00 -8.399821e-01 1.770143e-01 -3.005034e-01 9.021856e-02 5.491638e-01 2.414865e+00 -3.372688e-02 4.530903e-01 3.323992e-01 -1.787641e+00 -4.772492e-01 8.502886e-02
3.360000e+00 -7.810015e-01 1.813205e-01 -2.770810e-01 4.050025e-02 5.583633e-01 2.392341e+00 -1.697089e-02 4.643434e-01 3.349728e-01 -1.760043e+00 -4.556287e-01 1.291152e-01
3.440000e+00 -7.224627e-01 1.849744e-01 -2.553988e-01 -1.002970e-02 5.683075e-01 2.369530e+00 -5.695183e-05 4.752965e-01 3.379606e-01 -1.733465e+00 -4.326917e-01 1.695834e-01
3.520000e+00 -6.680923e-01 1.867125e-01 -2.365435e-01 -5.308386e-02 5.776249e-01 2.349496e+00 1.642211e-02 4.846891e-01 3.414573e-01 -1.706933e+00 -4.086820e-01 2.090813e-01
3.600000e+00 -6.156371e-01 1.828952e-01 -2.201190e-01 -9.398597e-02 5.867020e-01 2.329758e+00 3.325684e-02 4.934640e-01 3.464384e-01 -1.680291e+00 -3.839952e-01 2.493983e-01
3.680000e+00 -5.675696e-01 1.739213e-01 -2.073510e-01 -1.323556e-01 5.953359e-01 2.310707e+00 4.922942e-02 5.014970e-01 3.513398e-01 -1.655850e+00 -3.587352e-01 2.834632e-01
3.760000e+00 -5.217504e-01 1.673833e-01 -1.954646e-01 -1.671195e-01 6.047626e-01 2.293934e+00 6.423686e-02 5.114687e-01 3.547143e-01 -1.631601e+00 -3.353909e-01 3.159821e-01
3.840000e+00 -4.812371e-01 1.606712e-01 -1.865143e-01 -1.982765e-01 6.134877e-01 2.278405e+00 7.779373e-02 5.212491e-01 3.573129e-01 -1.609464e+00 -3.135136e-01 3.429480e-01
3.920000e+00 -4.444874e-01 1.542514e-01 -1.796924e-01 -2.264103e-01 6.217764e-01 2.263598e+00 9.036611e-02 5.308961e-01 3.598722e-01 -1.588400e+00 -2.928946e-01 3.672006e-01
4.000000e+00 -4.077618e-01 1.461766e-01 -1.728922e-01 -2.564571e-01 6.314561e-01 2.249085e+00 1.051238e-01 5.407983e-01 3.628835e-01 -1.561000e+00 -2.716929e-01 3.849079e-01
4.080000e+00 -3.773867e-01 1.383044e-01 -1.687988e-01 -2.788313e-01 6.394551e-01 2.237764e+00 1.168563e-01 5.517869e-01 3.666111e-01 -1.541750e+00 -2.531743e-01 4.009220e-01
4.160000e+00 -3.500551e-01 1.328947e-01 -1.653360e-01 -2.993038e-01 6.469369e-01 2.227788e+00 1.270111e-01 5.630766e-01 3.693873e-01 -1.523954e+00 -2.370351e-01 4.148648e-01
4.240000e+00 -3.259048e-01 1.266704e-01 -1.631527e-01 -3.181321e-01 6.534648e-01 2.218778e+00 1.357104e-01 5.742477e-01 3.714339e-01 -1.507320e+00 -2.225175e-01 4.264862e-01
4.320000e+00 -3.041257e-01 1.215434e-01 -1.621159e-01 -3.335560e-01 6.589662e-01 2.206938e+00 1.458012e-01 5.852569e-01 3.738475e-01 -1.491394e+00 -2.088940e-01 4.366202e-01
4.400000e+00 -2.860191e-01 1.160396e-01 -1.622970e-01 -3.480826e-01 6.629848e-01 2.197494e+00 1.519557e-01 5.958884e-01 3.742647e-01 -1.478007e+00 -1.975004e-01 4.415022e-01
4.480000e+00 -2.697371e-01 1.105146e-01 -1.628337e-01 -3.610407e-01 6.666348e-01 2.189301e+00 1.569209e-01 6.064774e-01 3.741526e-01 -1.465017e+00 -1.876747e-01 4.460894e-01
4.560000e+00 -2.539032e-01 1.051055e-01 -1.632007e-01 -3.722801e-01 6.700041e-01 2.182543e+00 1.609158e-01 6.174333e-01 3.733329e-01 -1.452184e+00 -1.790363e-01 4.514102e-01
4.640000e+00 -2.407088e-01 9.975130e-02 -1.642678e-01 -3.821249e-01 6.724720e-01 2.176468e+00 1.638413e-01 6.279589e-01 3.720295e-01 -1.440598e+00 -1.714852e-01 4.539940e-01
4.720000e+00 -2.296303e-01 9.447176e-02 -1.659122e-01 -3.909950e-01 6.742185e-01 2.171381e+00 1.657199e-01 6.383236e-01 3.701401e-01 -1.430024e+00 -1.650054e-01 4.545652e-01
4.800000e+00 -2.195303e-01 8.906912e-02 -1.672943e-01 -3.986606e-01 6.757745e-01 2.166562e+00 1.672778e-01 6.488605e-01 3.685543e-01 -1.419242e+00 -1.592526e-01 4.555866e-01
4.880000e+00 -2.109469e-01 8.407381e-02 -1.690772e-01 -4.052447e-01 6.765920e-01 2.162003e+00 1.679738e-01 6.590790e-01 3.662537e-01 -1.409890e+00 -1.540648e-01 4.541882e-01
4.960000e+00 -2.007361e-01 8.782537e-02 -1.696347e-01 -4.078269e-01 6.777908e-01 2.143982e+00 1.763935e-01 6.696769e-01 3.674849e-01 -1.399459e+00 -1.477422e-01 4.552512e-01
5.040000e+00 -1.924330e-01 8.811626e-02 -1.699771e-01 -4.106278e-01 6.777780e-01 2.132409e+00 1.793966e-01 6.794566e-01 3.665359e-01 -1.391640e+00 -1.436689e-01 4.529315e-01
5.120000e+00 -1.851998e-01 8.768285e-02 -1.704265e-01 -4.129409e-01 6.779867e-01 2.122622e+00 1.813460e-01 6.883175e-01 3.651747e-01 -1.384860e+00 -1.401847e-01 4.488957e-01
5.200000e+00 -1.788486e-01 8.682304e-02 -1.710133e-01 -4.148887e-01 6.783613e-01 2.113907e+00 1.825928e-01 6.965467e-01 3.635542e-01 -1.379020e+00 -1.370723e-01 4.435198e-01
5.280000e+00 -1.728645e-01 8.547711e-02 -1.715286e-01 -4.166577e-01 6.789719e-01 2.106020e+00 1.833797e-01 7.044299e-01 3.618663e-01 -1.373682e+00 -1.341794e-01 4.380348e-01
5.360000e+00 -1.676860e-01 8.373722e-02 -1.723451e-01 -4.184289e-01 6.794152e-01 2.098576e+00 1.835463e-01 7.117401e-01 3.599040e-01 -1.369361e+00 -1.314317e-01 4.310778e-01
5.440000e+00 -1.631688e-01 8.154759e-02 -1.734348e-01 -4.203608e-01 6.796132e-01 2.091350e+00 1.831612e-01 7.185455e-01 3.577377e-01 -1.365884e+00 -1.288519e-01 4.230771e-01
5.520000e+00 -1.581706e-01 7.762962e-02 -1.735590e-01 -4.231705e-01 6.810145e-01 2.084073e+00 1.846007e-01 7.255638e-01 3.562389e-01 -1.357392e+00 -1.251905e-01 4.116023e-01
5.600000e+00 -1.540469e-01 7.389823e-02 -1.746430e-01 -4.258997e-01 6.813558e-01 2.076997e+00 1.845254e-01 7.322274e-01 3.556644e-01 -1.354876e+00 -1.221662e-01 4.005366e-01
5.680000e+00 -1.504802e-01 6.983852e-02 -1.761290e-01 -4.288596e-01 6.810888e-01 2.069773e+00 1.838093e-01 7.384599e-01 3.546053e-01 -1.353160e+00 -1.192924e-01 3.892091e-01
5.760000e+00 -1.472973e-01 6.517019e-02 -1.777547e-01 -4.321844e-01 6.804383e-01 2.062383e+00 1.827140e-01 7.445149e-01 3.531242e-01 -1.351446e+00 -1.166533e-01 3.772526e-01
5.840000e+00 -1.445692e-01 5.527772e-02 -1.810170e-01 -4.373058e-01 6.786327e-01 2.053676e+00 1.811289e-01 7.489461e-01 3.518599e-01 -1.351725e+00 -1.124950e-01 3.639772e-01
5.920000e+00 -1.421449e-01 4.970607e-02 -1.835734e-01 -4.415920e-01 6.768401e-01 2.045549e+00 1.792526e-01 7.539687e-01 3.499394e-01 -1.351571e+00 -1.091774e-01 3.519998e-01
6.000000e+00 -1.394717e-01 4.306857e-02 -1.860125e-01 -4.462375e-01 6.748159e-01 2.037068e+00 1.773535e-01 7.586934e-01 3.481785e-01 -1.351435e+00 -1.055600e-01 3.408553e-01
6.080000e+00 -1.372500e-01 3.615926e-02 -1.887725e-01 -4.511282e-01 6.721864e-01 2.028148e+00 1.751357e-01 7.627236e-01 3.462350e-01 -1.352292e+00 -1.015970e-01 3.289723e-01
6.160000e+00 -1.361798e-01 2.947912e-02 -1.923454e-01 -4.562258e-01 6.685252e-01 2.018608e+00 1.721079e-01 7.656318e-01 3.434107e-01 -1.355423e+00 -9.765180e-02 3.143188e-01
6.240000e+00 -1.350236e-01 2.218599e-02 -1.956266e-01 -4.618147e-01 6.648797e-01 2.008653e+00 1.692521e-01 7.682520e-01 3.411883e-01 -1.358112e+00 -9.371043e-02 3.010311e-01
6.320000e+00 -1.339515e-01 1.457295e-02 -1.988773e-01 -4.678023e-01 6.610243e-01 1.998224e+00 1.663973e-01 7.703891e-01 3.391683e-01 -1.361234e+00 -8.940689e-02 2.875910e-01
6.400000e+00 -1.329287e-01 6.693739e-03 -2.020975e-01 -4.741897e-01 6.569686e-01 1.987293e+00 1.635719e-01 7.720125e-01 3.373144e-01 -1.364833e+00 -8.475142e-02 2.740192e-01
6.480000e+00 -1.319820e-01 -1.492525e-03 -2.052183e-01 -4.811185e-01 6.527261e-01 1.976066e+00 1.607422e-01 7.731845e-01 3.355523e-01 -1.368905e+00 -7.981980e-02 2.603125e-01
6.560000e+00 -1.312591e-01 -1.004191e-02 -2.086343e-01 -4.888744e-01 6.482427e-01 1.965288e+00 1.576439e-01 7.739194e-01 3.337361e-01 -1.373474e+00 -7.474378e-02 2.464393e-01
6.640000e+00 -1.306908e-01 -1.854485e-02 -2.121986e-01 -4.969994e-01 6.432794e-01 1.953442e+00 1.545798e-01 7.739240e-01 3.322581e-01 -1.378776e+00 -6.930638e-02 2.320926e-01
6.720000e+00 -1.290934e-01 -2.620177e-02 -2.144627e-01 -5.030502e-01 6.386464e-01 1.935056e+00 1.537777e-01 7.728210e-01 3.322480e-01 -1.384347e+00 -6.243207e-02 2.185078e-01
6.800000e+00 -1.264237e-01 -3.426843e-02 -2.167983e-01 -5.135679e-01 6.359194e-01 1.919834e+00 1.528397e-01 7.706872e-01 3.325499e-01 -1.390923e+00 -5.495492e-02 2.044525e-01
6.880000e+00 -1.241547e-01 -4.273830e-02 -2.190870e-01 -5.235942e-01 6.326719e-01 1.904739e+00 1.517222e-01 7.681405e-01 3.326979e-01 -1.398002e+00 -4.754238e-02 1.900790e-01
6.960000e+00 -1.221071e-01 -5.156701e-02 -2.215432e-01 -5.338779e-01 6.288737e-01 1.889147e+00 1.504832e-01 7.649812e-01 3.328625e-01 -1.405663e+00 -4.002592e-02 1.754058e-01
7.040000e+00 -1.202378e-01 -6.073154e-02 -2.241491e-01 -5.445090e-01 6.245599e-01 1.872939e+00 1.491611e-01 7.611480e-01 3.331099e-01 -1.413929e+00 -3.236104e-02 1.604430e-01
7.120000e+00 -1.185137e-01 -7.020883e-02 -2.268727e-01 -5.554794e-01 6.197905e-01 1.856090e+00 1.477987e-01 7.566058e-01 3.334861e-01 -1.422811e+00 -2.452824e-02 1.451918e-01
7.200000e+00 -1.168225e-01 -7.998090e-02 -2.296810e-01 -5.669397e-01 6.146417e-01 1.838539e+00 1.464568e-01 7.512952e-01 3.340568e-01 -1.432331e+00 -1.647931e-02 1.296358e-01
7.280000e+00 -1.160723e-01 -8.904849e-02 -2.335467e-01 -5.781552e-01 6.079220e-01 1.820415e+00 1.432978e-01 7.446907e-01 3.341483e-01 -1.447081e+00 -9.203877e-03 1.158352e-01
7.360000e+00 -1.155754e-01 -9.907677e-02 -2.371359e-01 -5.885917e-01 6.008046e-01 1.802468e+00 1.404043e-01 7.374147e-01 3.332017e-01 -1.459038e+00 -1.722119e-03 1.010502e-01
7.440000e+00 -1.148605e-01 -1.093780e-01 -2.407332e-01 -6.003991e-01 5.938418e-01 1.783107e+00 1.379820e-01 7.291036e-01 3.327821e-01 -1.471072e+00 6.306550e-03 8.570601e-02
7.520000e+00 -1.128900e-01 -1.186592e-01 -2.431683e-01 -6.097350e-01 5.871748e-01 1.755845e+00 1.386345e-01 7.192864e-01 3.346373e-01 -1.483479e+00 1.600694e-02 7.045430e-02
7.600000e+00 -1.109493e-01 -1.289417e-01 -2.458040e-01 -6.201708e-01 5.823703e-01 1.734179e+00 1.386153e-01 7.087737e-01 3.364475e-01 -1.496856e+00 2.539912e-02 5.416572e-02
7.680000e+00 -1.089057e-01 -1.397687e-01 -2.485778e-01 -6.312398e-01 5.773818e-01 1.712137e+00 1.386057e-01 6.972580e-01 3.386049e-01 -1.511116e+00 3.489662e-02 3.696006e-02
7.760000e+00 -1.067252e-01 -1.511259e-01 -2.514983e-01 -6.429713e-01 5.719372e-01 1.689438e+00 1.385568e-01 6.847753e-01 3.410755e-01 -1.526236e+00 4.448057e-02 1.901134e-02
7.840000e+00 -1.044084e-01 -1.629729e-01 -2.545942e-01 -6.553424e-01 5.659329e-01 1.665958e+00 1.384686e-01 6.713073e-01 3.438422e-01 -1.542229e+00 5.415750e-02 3.272995e-04
7.920000e+00 -1.019297e-01 -1.752627e-01 -2.578700e-01 -6.682959e-01 5.593603e-01 1.641647e+00 1.383623e-01 6.568328e-01 3.469035e-01 -1.559092e+00 6.392777e-02 -1.906772e-02
8.000000e+00 -9.944712e-02 -1.888846e-01 -2.613698e-01 -6.826476e-01 5.522437e-01 1.618441e+00 1.367568e-01 6.412897e-01 3.496547e-01 -1.577118e+00 7.351200e-02 -3.964076e-02
8.080000e+00 -9.690301e-02 -2.026544e-01 -2.655493e-01 -6.978409e-01 5.447044e-01 1.595089e+00 1.359555e-01 6.249375e-01 3.526399e-01 -1.595419e+00 8.308656e-02 -6.029257e-02
8.160000e+00 -9.389470e-02 -2.161670e-01 -2.696118e-01 -7.126959e-01 5.365128e-01 1.569478e+00 1.355721e-01 6.073620e-01 3.563576e-01 -1.614663e+00 9.299872e-02 -8.156574e-02
8.240000e+00 -9.047741e-02 -2.297302e-01 -2.736774e-01 -7.276349e-01 5.279804e-01 1.542676e+00 1.354069e-01 5.887477e-01 3.605010e-01 -1.634756e+00 1.029851e-01 -1.034001e-01
8.320000e+00 -8.660858e-02 -2.433326e-01 -2.777607e-01 -7.427018e-01 5.191606e-01 1.514778e+00 1.354396e-01 5.690555e-01 3.650531e-01 -1.655700e+00 1.130139e-01 -1.258090e-01
8.400000e+00 -8.211429e-02 -2.571476e-01 -2.816914e-01 -7.579352e-01 5.102290e-01 1.485912e+00 1.357309e-01 5.484161e-01 3.698682e-01 -1.677240e+00 1.230498e-01 -1.483619e-01
8.480000e+00 -7.710758e-02 -2.707237e-01 -2.857483e-01 -7.732258e-01 5.009717e-01 1.456011e+00 1.361952e-01 5.264883e-01 3.752434e-01 -1.699773e+00 1.331459e-01 -1.717096e-01
8.560000e+00 -7.151775e-02 -2.841755e-01 -2.898069e-01 -7.886208e-01 4.915249e-01 1.425163e+00 1.368499e-01 5.033796e-01 3.810453e-01 -1.723188e+00 1.432454e-01 -1.956321e-01
8.640000e+00 -6.664940e-02 -3.001294e-01 -2.942312e-01 -8.086211e-01 4.817282e-01 1.405429e+00 1.310452e-01 4.792483e-01 3.839173e-01 -1.748270e+00 1.511017e-01 -2.217594e-01
8.720000e+00 -6.098358e-02 -3.143511e-01 -2.990365e-01 -8.273905e-01 4.716855e-01 1.379825e+00 1.285438e-01 4.540481e-01 3.883930e-01 -1.773208e+00 1.599836e-01 -2.475434e-01
8.800000e+00 -5.465001e-02 -3.277531e-01 -3.038655e-01 -8.455853e-01 4.611294e-01 1.351327e+00 1.271311e-01 4.280452e-01 3.936367e-01 -1.798723e+00 1.689940e-01 -2.735002e-01
8.880000e+00 -4.868564e-02 -3.390773e-01 -3.099088e-01 -8.626911e-01 4.484866e-01 1.320899e+00 1.236929e-01 4.004397e-01 3.990697e-01 -1.831653e+00 1.768816e-01 -2.970209e-01
