# Time Total_Circulation Enstrophy_Proxy
8.000000e-02 -2.556650e-08 1.193815e-12
1.600000e-01 -2.616108e-07 3.162358e-06
2.400000e-01 -5.413670e-05 6.266722e-05
3.200000e-01 -1.615448e-04 3.773733e-04
4.000000e-01 -1.463800e-04 1.314587e-03
4.800000e-01 1.342840e-03 3.300640e-03
5.600000e-01 7.377534e-04 6.657506e-03
6.400000e-01 4.341149e-03 1.140182e-02
7.200000e-01 -1.071898e-03 1.727275e-02
8.000000e-01 -4.008139e-03 2.351012e-02
8.800000e-01 -3.981238e-03 2.931515e-02
9.600000e-01 -1.737156e-03 3.397306e-02
1.040000e+00 -2.746206e-04 3.688615e-02
1.120000e+00 -8.698328e-03 3.785121e-02
1.200000e+00 -1.607762e-02 3.770528e-02
1.280000e+00 -1.938457e-02 3.719175e-02
1.360000e+00 -2.366143e-02 3.664338e-02
1.440000e+00 -3.262981e-02 3.617665e-02
1.520000e+00 -4.186125e-02 3.588356e-02
1.600000e+00 -5.082690e-02 3.575447e-02
1.680000e+00 -5.984861e-02 3.574860e-02
1.760000e+00 -6.711244e-02 3.582137e-02
1.840000e+00 -7.471418e-02 3.594177e-02
1.920000e+00 -8.474375e-02 3.608700e-02
2.000000e+00 -9.465203e-02 3.623058e-02
2.080000e+00 -1.045283e-01 3.636199e-02
2.160000e+00 -1.143350e-01 3.647637e-02
2.240000e+00 -1.242272e-01 3.656869e-02
2.320000e+00 -1.341696e-01 3.663990e-02
2.400000e+00 -1.441364e-01 3.669259e-02
2.480000e+00 -1.556083e-01 3.673509e-02
2.560000e+00 -1.670993e-01 3.676472e-02
2.640000e+00 -1.785784e-01 3.678531e-02
2.720000e+00 -1.901163e-01 3.679892e-02
2.800000e+00 -2.016795e-01 3.680812e-02
2.880000e+00 -2.131907e-01 3.681510e-02
2.960000e+00 -2.231971e-01 3.682650e-02
3.040000e+00 -2.346608e-01 3.683183e-02
3.120000e+00 -2.475150e-01 3.683398e-02
3.200000e+00 -2.600678e-01 3.684146e-02
3.280000e+00 -2.725956e-01 3.685314e-02
3.360000e+00 -2.850893e-01 3.686878e-02
3.440000e+00 -2.975368e-01 3.688814e-02
3.520000e+00 -3.099270e-01 3.691096e-02
3.600000e+00 -3.222501e-01 3.693691e-02
3.680000e+00 -3.344981e-01 3.696565e-02
3.760000e+00 -3.466635e-01 3.699678e-02
3.840000e+00 -3.587419e-01 3.702992e-02
3.920000e+00 -3.707290e-01 3.706473e-02
4.000000e+00 -3.826230e-01 3.710084e-02
4.080000e+00 -3.944228e-01 3.713798e-02
4.160000e+00 -4.061295e-01 3.717589e-02
4.240000e+00 -4.177454e-01 3.721433e-02
4.320000e+00 -4.292743e-01 3.725308e-02
4.400000e+00 -4.407219e-01 3.729201e-02
4.480000e+00 -4.520946e-01 3.733097e-02
4.560000e+00 -4.634000e-01 3.736988e-02
4.640000e+00 -4.746482e-01 3.740866e-02
4.720000e+00 -4.858500e-01 3.744728e-02
4.800000e+00 -4.970173e-01 3.748570e-02
4.880000e+00 -5.081635e-01 3.752392e-02
4.960000e+00 -5.193030e-01 3.756194e-02
5.040000e+00 -5.304510e-01 3.759976e-02
5.120000e+00 -5.416243e-01 3.763742e-02
5.200000e+00 -5.523244e-01 3.767428e-02
5.280000e+00 -5.631662e-01 3.771138e-02
5.360000e+00 -5.740640e-01 3.774864e-02
5.440000e+00 -5.850413e-01 3.778595e-02
5.520000e+00 -5.961186e-01 3.782323e-02
5.600000e+00 -6.061090e-01 3.785734e-02
5.680000e+00 -6.163699e-01 3.789242e-02
5.760000e+00 -6.267064e-01 3.792800e-02
5.840000e+00 -6.371421e-01 3.796397e-02
5.920000e+00 -6.477010e-01 3.800028e-02
6.000000e+00 -6.584060e-01 3.803688e-02
6.080000e+00 -6.692802e-01 3.807375e-02
6.160000e+00 -6.803464e-01 3.811089e-02
6.240000e+00 -6.916278e-01 3.814829e-02
6.320000e+00 -7.031453e-01 3.818591e-02
6.400000e+00 -7.149211e-01 3.822378e-02
6.480000e+00 -7.269750e-01 3.826187e-02
6.560000e+00 -7.393264e-01 3.830018e-02
6.640000e+00 -7.519941e-01 3.833870e-02
6.720000e+00 -7.649947e-01 3.837742e-02
6.800000e+00 -7.783434e-01 3.841633e-02
6.880000e+00 -7.920540e-01 3.845542e-02
6.960000e+00 -8.061381e-01 3.849466e-02
7.040000e+00 -8.206063e-01 3.853406e-02
7.120000e+00 -8.354674e-01 3.857360e-02
7.200000e+00 -8.507279e-01 3.861326e-02
7.280000e+00 -8.663917e-01 3.865305e-02
7.360000e+00 -8.824616e-01 3.869294e-02
7.440000e+00 -8.989372e-01 3.873294e-02
7.520000e+00 -9.158159e-01 3.877304e-02
7.600000e+00 -9.333881e-01 3.881352e-02
7.680000e+00 -9.513631e-01 3.885406e-02
7.760000e+00 -9.697479e-01 3.889457e-02
7.840000e+00 -9.885268e-01 3.893513e-02
7.920000e+00 -1.007682e+00 3.897579e-02
8.000000e+00 -1.027196e+00 3.901659e-02
8.080000e+00 -1.047047e+00 3.905757e-02
8.160000e+00 -1.067211e+00 3.909877e-02
8.240000e+00 -1.087662e+00 3.914018e-02
8.320000e+00 -1.108370e+00 3.918182e-02
8.400000e+00 -1.128758e+00 3.922444e-02
8.480000e+00 -1.149296e+00 3.926705e-02
8.560000e+00 -1.169919e+00 3.930976e-02
8.640000e+00 -1.190584e+00 3.935265e-02
8.720000e+00 -1.211249e+00 3.939577e-02
8.800000e+00 -1.231868e+00 3.943917e-02
8.880000e+00 -1.252394e+00 3.948287e-02
8.960000e+00 -1.272777e+00 3.952691e-02
9.040000e+00 -1.292970e+00 3.957131e-02
9.120000e+00 -1.312920e+00 3.961608e-02
9.200000e+00 -1.335732e+00 3.968582e-02
9.280000e+00 -1.358330e+00 3.975273e-02
9.360000e+00 -1.380966e+00 3.981643e-02
9.440000e+00 -1.403661e+00 3.987753e-02
9.520000e+00 -1.426379e+00 3.993648e-02
9.600000e+00 -1.449065e+00 3.999358e-02
9.680000e+00 -1.471649e+00 4.004905e-02
9.760000e+00 -1.494058e+00 4.010310e-02
9.840000e+00 -1.516215e+00 4.015601e-02
9.920000e+00 -1.538045e+00 4.020804e-02
1.000000e+01 -1.559137e+00 4.025916e-02
1.008000e+01 -1.579812e+00 4.030999e-02
1.016000e+01 -1.599937e+00 4.036065e-02
1.024000e+01 -1.621998e+00 4.042527e-02
1.032000e+01 -1.643455e+00 4.048730e-02
1.040000e+01 -1.664468e+00 4.054706e-02
1.048000e+01 -1.685077e+00 4.060498e-02
1.056000e+01 -1.705262e+00 4.066116e-02
1.064000e+01 -1.724983e+00 4.071552e-02
1.072000e+01 -1.744190e+00 4.076790e-02
1.080000e+01 -1.762833e+00 4.081817e-02
1.088000e+01 -1.780861e+00 4.086620e-02
1.096000e+01 -1.798226e+00 4.091188e-02
1.104000e+01 -1.814882e+00 4.095514e-02
1.112000e+01 -1.830788e+00 4.099588e-02
1.120000e+01 -1.845906e+00 4.103409e-02
1.128000e+01 -1.860203e+00 4.106970e-02
1.136000e+01 -1.873650e+00 4.110270e-02
1.144000e+01 -1.883958e+00 4.111859e-02
1.152000e+01 -1.893479e+00 4.113679e-02
1.160000e+01 -1.901867e+00 4.115686e-02
1.168000e+01 -1.909143e+00 4.117724e-02
1.176000e+01 -1.915325e+00 4.119660e-02
1.184000e+01 -1.920426e+00 4.121403e-02
1.192000e+01 -1.924464e+00 4.122895e-02
1.200000e+01 -1.927459e+00 4.124111e-02
1.208000e+01 -1.929437e+00 4.125046e-02
1.216000e+01 -1.930425e+00 4.125713e-02
1.224000e+01 -1.930460e+00 4.126130e-02
1.232000e+01 -1.929584e+00 4.126324e-02
1.240000e+01 -1.927845e+00 4.126326e-02
1.248000e+01 -1.925296e+00 4.126170e-02
1.256000e+01 -1.921998e+00 4.125895e-02
1.264000e+01 -1.918019e+00 4.125540e-02
1.272000e+01 -1.913432e+00 4.125149e-02
1.280000e+01 -1.908316e+00 4.124768e-02
1.288000e+01 -1.902757e+00 4.124445e-02
1.296000e+01 -1.894321e+00 4.125747e-02
1.304000e+01 -1.884115e+00 4.127458e-02
1.312000e+01 -1.874635e+00 4.128852e-02
1.320000e+01 -1.864338e+00 4.130444e-02
1.328000e+01 -1.853488e+00 4.132281e-02
1.336000e+01 -1.838710e+00 4.131943e-02
1.344000e+01 -1.823961e+00 4.133064e-02
