# Time C0_Drag C0_Lift C1_Drag C1_Lift C2_Drag C2_Lift C3_Drag C3_Lift C4_Drag C4_Lift C5_Drag C5_Lift
8.000000e-02 9.818871e-05 1.687581e-21 9.818871e-05 1.728741e-21 9.818871e-05 8.448955e-21 9.818871e-05 -5.144931e-21 9.818871e-05 8.607774e-21 9.818871e-05 -1.224181e-20
1.600000e-01 1.542170e-01 6.534062e-08 1.542136e-01 1.676151e-06 1.542135e-01 -2.444307e-06 1.542169e-01 1.637298e-07 1.542133e-01 2.263915e-06 1.542134e-01 -1.818869e-06
2.400000e-01 5.664301e-01 2.763619e-05 5.604200e-01 3.376411e-03 5.603700e-01 -3.336186e-03 5.663375e-01 3.230378e-05 5.603974e-01 3.334983e-03 5.604488e-01 -3.382958e-03
3.200000e-01 1.144116e+00 1.894941e-04 1.118286e+00 1.504039e-02 1.118277e+00 -1.367426e-02 1.143455e+00 3.867262e-04 1.118158e+00 1.382624e-02 1.118164e+00 -1.499003e-02
4.000000e-01 1.808515e+00 1.331802e-03 1.746901e+00 3.615310e-02 1.748109e+00 -3.189568e-02 1.805583e+00 9.821792e-04 1.747587e+00 3.142169e-02 1.746180e+00 -3.585646e-02
4.800000e-01 2.489299e+00 1.853749e-03 2.375802e+00 6.168457e-02 2.382308e+00 -5.621567e-02 2.482997e+00 7.707514e-04 2.382435e+00 5.839955e-02 2.376044e+00 -6.714583e-02
5.600000e-01 3.120905e+00 -8.607049e-04 2.943508e+00 9.818382e-02 2.961870e+00 -8.673816e-02 3.110662e+00 -2.924483e-03 2.963081e+00 8.272002e-02 2.945577e+00 -1.021185e-01
6.400000e-01 3.643537e+00 9.543277e-03 3.408692e+00 1.412919e-01 3.436671e+00 -1.153271e-01 3.633970e+00 4.868245e-03 3.432105e+00 1.086275e-01 3.398432e+00 -1.340969e-01
7.200000e-01 3.994576e+00 1.108991e-02 3.714297e+00 1.823244e-01 3.750715e+00 -1.174898e-01 4.004430e+00 1.315114e-02 3.739637e+00 1.318842e-01 3.693686e+00 -1.752079e-01
8.000000e-01 4.128821e+00 1.298025e-02 3.834102e+00 2.157366e-01 3.866304e+00 -1.078596e-01 4.189350e+00 2.317058e-02 3.845318e+00 1.464166e-01 3.803738e+00 -2.270971e-01
8.800000e-01 4.027347e+00 3.735810e-02 3.742843e+00 2.511255e-01 3.743872e+00 -9.880503e-02 4.171626e+00 -1.074275e-02 3.746451e+00 1.354719e-01 3.724290e+00 -2.525146e-01
9.600000e-01 3.675369e+00 3.824050e-02 3.470040e+00 2.770620e-01 3.410894e+00 -5.509514e-02 3.947385e+00 1.383027e-02 3.407746e+00 9.435888e-02 3.453782e+00 -2.923673e-01
1.040000e+00 3.105075e+00 6.593184e-02 3.020628e+00 2.823485e-01 2.870431e+00 -4.298295e-03 3.532883e+00 7.344478e-03 2.875137e+00 -4.076979e-03 3.020532e+00 -3.152748e-01
1.120000e+00 2.412987e+00 6.056785e-02 2.468075e+00 2.859126e-01 2.208414e+00 1.156899e-01 2.978298e+00 -6.715345e-03 2.224417e+00 -8.651760e-02 2.475637e+00 -3.219668e-01
1.200000e+00 1.861821e+00 7.026615e-02 2.072133e+00 2.873242e-01 1.710314e+00 1.851410e-01 2.558933e+00 -1.385973e-02 1.726344e+00 -1.938803e-01 2.075012e+00 -3.201376e-01
1.280000e+00 1.468728e+00 5.764142e-02 1.803539e+00 2.859893e-01 1.376990e+00 2.744148e-01 2.253135e+00 -6.417955e-03 1.383367e+00 -2.879668e-01 1.808714e+00 -3.150846e-01
1.360000e+00 1.204409e+00 4.958217e-02 1.616592e+00 2.805955e-01 1.163778e+00 3.523121e-01 2.025659e+00 7.698481e-04 1.162696e+00 -3.578827e-01 1.618989e+00 -3.162279e-01
1.440000e+00 1.026211e+00 5.397552e-02 1.465874e+00 2.884901e-01 1.020920e+00 4.263162e-01 1.847740e+00 -1.918465e-02 1.035331e+00 -4.294719e-01 1.477995e+00 -3.318154e-01
1.520000e+00 9.102289e-01 5.025500e-02 1.352739e+00 3.018058e-01 9.474453e-01 4.976345e-01 1.713747e+00 -7.047511e-03 9.613681e-01 -4.807821e-01 1.357390e+00 -3.180085e-01
1.600000e+00 8.345864e-01 4.503093e-02 1.248558e+00 3.011920e-01 9.113038e-01 5.535970e-01 1.605528e+00 -1.168821e-02 9.297803e-01 -5.439679e-01 1.256354e+00 -3.172285e-01
1.680000e+00 7.733067e-01 3.375107e-02 1.150296e+00 3.233190e-01 8.981912e-01 6.103373e-01 1.511503e+00 -1.350507e-02 9.203567e-01 -6.023143e-01 1.158510e+00 -3.208451e-01
1.760000e+00 7.304559e-01 2.817473e-02 1.061778e+00 3.251481e-01 9.056168e-01 6.637352e-01 1.433921e+00 -1.223555e-02 9.280829e-01 -6.441994e-01 1.063842e+00 -3.128382e-01
1.840000e+00 6.902971e-01 1.920069e-02 9.718692e-01 3.399642e-01 9.211417e-01 7.082773e-01 1.363253e+00 -7.670925e-03 9.389206e-01 -6.860911e-01 9.696664e-01 -3.265954e-01
1.920000e+00 6.413157e-01 2.183100e-02 8.804383e-01 3.728468e-01 9.369292e-01 7.472159e-01 1.306160e+00 -1.470173e-02 9.567256e-01 -7.202700e-01 8.712923e-01 -3.486561e-01
2.000000e+00 5.911195e-01 9.676702e-03 7.882486e-01 3.871319e-01 9.576764e-01 7.850050e-01 1.254324e+00 -1.077060e-02 9.720558e-01 -7.608841e-01 7.822143e-01 -3.772127e-01
2.080000e+00 5.346093e-01 2.044751e-03 6.945493e-01 4.192813e-01 9.761427e-01 8.216650e-01 1.208213e+00 -9.028947e-03 9.899211e-01 -7.929423e-01 6.906211e-01 -4.101958e-01
2.160000e+00 4.704888e-01 5.083759e-03 6.050674e-01 4.603741e-01 9.924062e-01 8.569085e-01 1.167656e+00 -4.111037e-03 9.999616e-01 -8.201982e-01 5.930062e-01 -4.519220e-01
2.240000e+00 3.982794e-01 1.030623e-02 5.158287e-01 5.123314e-01 1.001491e+00 8.932847e-01 1.127229e+00 6.035367e-04 1.003530e+00 -8.523053e-01 4.928726e-01 -4.997352e-01
2.320000e+00 3.220547e-01 8.203887e-04 4.224097e-01 5.777079e-01 1.006490e+00 9.163204e-01 1.094269e+00 2.763598e-03 1.005560e+00 -8.776045e-01 3.990749e-01 -5.428850e-01
2.400000e+00 2.440367e-01 1.298986e-03 3.301060e-01 6.415848e-01 1.004756e+00 9.380140e-01 1.064218e+00 3.903983e-03 1.004161e+00 -9.033675e-01 3.096779e-01 -5.906319e-01
2.480000e+00 1.717711e-01 2.827052e-03 2.421938e-01 6.761648e-01 1.004592e+00 9.485157e-01 1.040655e+00 2.832821e-03 1.002925e+00 -9.262507e-01 2.268562e-01 -6.406213e-01
2.560000e+00 1.005993e-01 5.132856e-03 1.596635e-01 7.083907e-01 1.001317e+00 9.570553e-01 1.020749e+00 2.832065e-03 9.996762e-01 -9.433479e-01 1.468646e-01 -6.985485e-01
2.640000e+00 2.742698e-02 9.976856e-04 7.867193e-02 7.509677e-01 9.936365e-01 9.675311e-01 1.001718e+00 4.443788e-03 9.912616e-01 -9.563614e-01 7.014556e-02 -7.645131e-01
2.720000e+00 -4.636247e-02 2.285185e-04 2.185177e-03 8.000535e-01 9.824696e-01 9.743769e-01 9.839027e-01 6.210629e-03 9.811684e-01 -9.692603e-01 -2.726966e-03 -8.273819e-01
2.800000e+00 -1.167752e-01 -2.140454e-03 -6.948944e-02 8.399698e-01 9.708692e-01 9.781093e-01 9.681557e-01 7.450523e-03 9.709390e-01 -9.807577e-01 -6.995695e-02 -8.868601e-01
2.880000e+00 -1.860643e-01 -1.214681e-03 -1.340806e-01 8.910942e-01 9.588705e-01 9.854925e-01 9.530490e-01 1.265624e-02 9.575322e-01 -9.870645e-01 -1.368901e-01 -9.393198e-01
2.960000e+00 -2.458191e-01 -2.518616e-03 -1.935996e-01 9.209298e-01 9.478157e-01 9.846078e-01 9.410045e-01 1.396447e-02 9.460961e-01 -9.939981e-01 -1.940594e-01 -9.922797e-01
3.040000e+00 -2.995211e-01 -6.947637e-03 -2.463667e-01 9.580900e-01 9.365308e-01 9.812722e-01 9.311357e-01 1.663465e-02 9.348384e-01 -9.972459e-01 -2.456746e-01 -1.039077e+00
3.120000e+00 -3.472896e-01 -1.193307e-02 -2.935399e-01 9.948090e-01 9.247150e-01 9.827518e-01 9.213784e-01 2.050868e-02 9.224777e-01 -9.980972e-01 -2.918036e-01 -1.085704e+00
3.200000e+00 -3.901795e-01 -1.368456e-02 -3.355096e-01 1.025335e+00 9.135200e-01 9.770706e-01 9.108496e-01 2.785476e-02 9.091089e-01 -1.007643e+00 -3.306800e-01 -1.135382e+00
3.280000e+00 -4.238313e-01 -1.762837e-02 -3.699817e-01 1.049272e+00 9.044441e-01 9.733893e-01 9.037063e-01 3.365356e-02 8.988787e-01 -1.007295e+00 -3.638460e-01 -1.179457e+00
3.360000e+00 -4.492222e-01 -2.213581e-02 -3.971181e-01 1.071983e+00 8.971971e-01 9.651566e-01 8.993719e-01 3.989744e-02 8.900132e-01 -1.001053e+00 -3.912455e-01 -1.222524e+00
3.440000e+00 -4.673818e-01 -2.173892e-02 -4.180650e-01 1.093289e+00 8.912126e-01 9.547500e-01 8.964048e-01 4.570554e-02 8.819890e-01 -9.950492e-01 -4.143389e-01 -1.261790e+00
3.520000e+00 -4.797480e-01 -2.039492e-02 -4.339509e-01 1.115116e+00 8.862921e-01 9.424987e-01 8.949121e-01 5.163313e-02 8.751530e-01 -9.864660e-01 -4.324982e-01 -1.301119e+00
3.600000e+00 -4.907651e-01 -1.845805e-02 -4.450806e-01 1.143556e+00 8.826778e-01 9.302196e-01 8.942510e-01 5.877536e-02 8.681257e-01 -9.750232e-01 -4.486974e-01 -1.341556e+00
